latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
46.0,-113.5,2015,5,0.0,0.11,0.0
45.5,-114.0,2015,5,0.1,0.0,0.0
46.5,-114.0,2015,5,0.30000000000000004,7.8,0.0
48.0,-114.0,2015,5,0.1,0.01,0.0
47.5,-114.0,2015,5,0.0,0.2,0.0
48.5,-114.5,2015,5,0.0,0.25,0.0
45.5,-111.5,2015,5,0.0,0.1,0.0
47.0,-115.5,2015,5,5.4,0.0,0.0
44.0,-104.0,2015,5,0.1,0.0,0.0
38.0,-108.5,2015,5,0.2,0.1,0.0
37.0,-106.5,2015,5,41.0,0.0,0.0
40.0,-106.0,2015,5,0.1,0.0,0.0
40.0,-107.5,2015,5,0.1,0.0,0.0
39.0,-105.5,2015,5,0.30000000000000004,0.1,0.0
37.0,-107.5,2015,5,0.30000000000000004,0.0,0.0
37.0,-107.0,2015,5,0.2,0.0,0.0
34.0,-110.5,2015,5,0.0,0.9,0.4
33.5,-109.5,2015,5,2.85,1.8,0.0
34.0,-111.0,2015,5,0.0,0.1,0.0
34.0,-110.0,2015,5,0.2,0.1,0.1
34.5,-108.5,2015,5,0.35,0.0,0.0
35.0,-108.0,2015,5,0.25,0.0,0.0
35.0,-108.5,2015,5,0.1,0.0,0.0
34.5,-112.0,2015,5,0.1,0.6,0.2
31.5,-110.5,2015,5,0.0,37.9,2.8000000000000003
31.0,-110.5,2015,5,0.0,0.1,0.0
32.0,-111.0,2015,5,0.0,130.6,32.850000000000165
34.0,-109.0,2015,5,0.1,0.1,0.0
33.0,-108.5,2015,5,0.1,0.1,0.0
33.0,-109.0,2015,5,2.6,0.0,0.0
32.5,-108.5,2015,5,0.0,0.1,0.0
32.5,-106.0,2015,5,0.0,0.31000000000000005,0.0
34.0,-112.5,2015,5,0.0,0.9,0.30000000000000004
33.0,-111.5,2015,5,0.0,0.2,0.0
33.5,-111.0,2015,5,0.0,28.25,0.0
33.5,-112.0,2015,5,0.0,19.450000000000006,0.5
33.5,-111.5,2015,5,0.0,11.67,0.0
44.0,-115.5,2015,5,0.1,0.0,0.0
43.0,-111.0,2015,5,0.0,0.1,0.0
43.5,-111.0,2015,5,0.0,0.1,0.0
38.5,-115.5,2015,5,0.1,0.0,0.0
38.5,-120.0,2015,5,1.6,0.0,0.0
36.0,-116.0,2015,5,0.1,0.30000000000000004,0.0
41.5,-116.0,2015,5,0.0,1.3,0.0
38.5,-117.5,2015,5,0.1,0.0,0.0
39.0,-117.0,2015,5,0.1,0.0,0.0
41.0,-112.0,2015,5,0.1,0.0,0.0
39.5,-112.0,2015,5,0.0,0.1,0.0
41.5,-123.5,2015,5,0.4,3.29,0.0
40.5,-122.0,2015,5,0.0,3.85,0.0
40.5,-121.5,2015,5,0.1,0.1,0.0
40.5,-121.0,2015,5,0.2,0.0,0.01
39.0,-123.0,2015,5,0.0,0.91,0.5
