latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
40.0,-121.5,2005,2,0.0,0.1,0.0
43.5,-121.5,2005,2,0.0,0.1,0.0
35.5,-82.0,2005,2,0.0,6.200000000000001,0.0
36.0,-82.0,2005,2,0.1,134.0,0.0
43.5,-122.0,2005,2,0.0,0.1,0.0
48.5,-116.0,2005,2,0.0,0.1,0.0
34.5,-119.5,2005,2,0.0,3.0,0.0
35.5,-121.5,2005,2,0.0,0.1,0.0
32.5,-117.0,2005,2,0.0,0.4,0.0
29.0,-82.0,2005,2,0.0,67.95,5.0
34.0,-82.0,2005,2,0.0,1.55,0.0
31.0,-93.0,2005,2,10.0,6.0,0.0
30.5,-93.5,2005,2,20.0,41.5,0.0
33.0,-80.0,2005,2,0.0,179.5,0.0
35.0,-112.0,2005,2,0.0,0.2,0.0
37.5,-107.0,2005,2,0.0,0.1,0.0
37.5,-91.0,2005,2,0.0,2.04,0.0
32.5,-80.0,2005,2,0.0,10.1,0.0
36.5,-92.5,2005,2,0.0,43.0,0.0
36.5,-93.0,2005,2,0.0,188.3,0.0
30.0,-85.0,2005,2,0.0,268.7,0.0
29.0,-81.5,2005,2,0.0,24.5,0.0
30.0,-84.5,2005,2,0.0,290.04,2.0
28.5,-82.0,2005,2,0.0,18.8,3.2
30.0,-83.0,2005,2,0.0,504.6,8.1
37.0,-84.5,2005,2,0.0,0.1,9.5
36.5,-84.5,2005,2,0.0,5.0,56.0
36.5,-91.5,2005,2,0.0,46.0,0.0
35.5,-94.5,2005,2,0.0,2.25,0.0
36.0,-94.5,2005,2,0.0,6.0,0.0
43.5,-103.5,2005,2,0.0,0.75,0.0
37.5,-91.5,2005,2,0.0,3.38,0.0
37.0,-91.5,2005,2,0.0,4.5,0.0
41.5,-123.5,2005,2,0.0,0.1,0.0
37.0,-89.0,2005,2,0.0,0.1,0.0
34.5,-118.5,2005,2,0.0,0.2,0.0
34.0,-118.5,2005,2,0.0,1.0,0.0
34.5,-84.5,2005,2,0.0,23.22,0.0
34.5,-84.0,2005,2,0.0,6.790000000000001,0.0
35.5,-94.0,2005,2,0.0,2.1,0.0
47.0,-114.5,2005,2,0.0,0.1,0.0
36.0,-103.5,2005,2,0.0,5.0,0.0
47.0,-103.5,2005,2,0.0,1.5,0.0
47.0,-115.0,2005,2,0.0,26.0,0.0
34.5,-83.5,2005,2,0.0,20.15,0.0
35.0,-94.0,2005,2,0.0,1.0,0.0
34.0,-111.5,2005,2,0.0,0.1,0.0
33.0,-82.0,2005,2,0.0,8.57,0.0
33.0,-79.5,2005,2,0.0,440.9,0.0
30.5,-89.0,2005,2,0.0,502.5,0.0
31.0,-89.5,2005,2,0.0,261.6,0.0
30.5,-89.5,2005,2,0.0,509.17,0.0
31.0,-89.0,2005,2,0.0,24.0,0.0
34.5,-89.5,2005,2,0.0,271.5,0.0
31.0,-94.0,2005,2,0.0,20.1,0.0
33.5,-112.0,2005,2,0.0,0.1,0.0
34.0,-112.0,2005,2,0.0,0.1,0.0
34.0,-82.5,2005,2,0.0,19.0,0.0
35.5,-95.0,2005,2,0.0,2.0,674.0
36.0,-96.5,2005,2,0.0,117.0,0.0
34.5,-95.0,2005,2,0.0,10.0,221.8
34.5,-96.0,2005,2,0.0,14.7,82.8
34.5,-95.5,2005,2,0.0,1.1,129.49999999999997
34.0,-95.0,2005,2,0.0,0.1,0.8999999999999999
35.0,-97.0,2005,2,0.0,15.0,0.0
26.0,-81.0,2005,2,0.0,607.6,0.0
26.0,-81.5,2005,2,0.0,8.9,360.0
27.0,-81.5,2005,2,0.0,348.2999999999999,0.2
35.5,-83.5,2005,2,0.0,5.0,0.0
46.0,-101.0,2005,2,0.0,3.5,0.0
45.5,-100.5,2005,2,0.0,1.0,0.0
45.5,-101.0,2005,2,0.0,27.0,0.0
42.0,-96.5,2005,2,0.0,1533.0,0.0
44.0,-99.5,2005,2,0.0,3.5,0.0
45.0,-101.5,2005,2,0.0,1.0,0.0
43.5,-100.0,2005,2,0.0,3.2,0.0
44.0,-100.0,2005,2,0.0,1.5,0.0
43.0,-102.5,2005,2,0.0,13.9,0.0
