latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
40.0,-121.5,2019,10,398.6081069031279,862.3959725362366,1.7009120186092446
38.5,-120.5,2019,10,9.205567763349789,0.0,0.004244575774467074
38.5,-121.0,2019,10,0.21818224637681286,53.03729296974325,1710.8885522201017
38.5,-120.0,2019,10,531.4061934719067,0.0,51.0089251207728
40.5,-122.5,2019,10,287.11559970211965,187.55792973565624,31.708870523295445
41.0,-122.5,2019,10,596.7529612318831,44.31843621917096,0.17453195700807456
38.0,-121.0,2019,10,0.0,0.0,1321.384648216379
33.0,-106.0,2019,10,381.17800050578813,0.0,4.224690738587866
33.5,-106.0,2019,10,0.0,17.8525082741794,0.0
33.5,-105.5,2019,10,203.7898923887515,69.29954974613065,0.0
43.5,-121.5,2019,10,0.0,0.0,0.00029106280193236765
44.0,-121.5,2019,10,0.0,101.33380149426192,0.8851310913335055
35.0,-83.0,2019,10,1.7288635407547872,10.143526195405796,0.0
35.0,-83.5,2019,10,2.944253069983517,30.290913575865034,9.933543207137973
35.5,-82.0,2019,10,54.33574238765779,98.83974662856369,17.83875256541205
36.0,-82.0,2019,10,0.5627994183180576,15.352656627723519,2.238852450086142
42.0,-106.0,2019,10,55.887723288104105,11.842216885517018,0.0
44.5,-120.0,2019,10,109.1980614035092,0.0,0.055737922705314524
42.0,-121.5,2019,10,0.0,17.695279727166735,0.005603311900387875
42.0,-121.0,2019,10,1107.6394937198056,0.0,0.0042899822018814815
42.5,-121.0,2019,10,0.0,0.0,0.003584858886346243
44.5,-107.5,2019,10,45.53520289855078,29.16197584541078,11.124328835157314
46.0,-118.0,2019,10,1365.8632378019392,284.14186545893614,128.9130434782619
42.5,-121.5,2019,10,0.0,0.0,0.018699007878610896
48.5,-115.5,2019,10,0.0,5.159151811594207,0.0
47.5,-116.0,2019,10,194.66987451690875,0.8305138888888894,0.0
38.5,-106.0,2019,10,0.3805422563466577,0.0,0.0
39.0,-106.5,2019,10,0.0,2.841038794864289,0.0011165141113653604
40.0,-111.5,2019,10,6.371031578947395,92.43285342246736,0.0
48.0,-116.0,2019,10,260.0414973429942,0.9029917959447572,0.0
35.0,-112.5,2019,10,340.99306787439485,11.109982273593259,0.00993735541266938
41.0,-124.0,2019,10,126.85741666666763,105.46587971694895,0.9704676455631756
44.0,-107.0,2019,10,124.34489251207559,0.8801854182557918,39.03981361530123
45.5,-118.5,2019,10,5.2978187643020656,54.79695676328493,3.605718599033764
48.0,-115.5,2019,10,0.0,2.461230676328512,0.0
32.5,-110.0,2019,10,177.10964473300555,0.0,0.06751894392568758
32.0,-105.0,2019,10,783.4304840117693,489.38999329586665,0.0
34.0,-118.0,2019,10,14.436261231884144,329.73457973082265,116.57011960169235
44.0,-103.5,2019,10,36.715566592296,0.7880088097153929,4.344648834185875
36.0,-107.0,2019,10,99.48844432367149,7.780435664089168,0.0
38.0,-119.5,2019,10,22.131696376811533,6.3614860223799505,0.0280220538205076
36.5,-107.5,2019,10,0.0,0.0,0.06391230405205484
48.5,-115.0,2019,10,131.21293384185034,0.8541575741890952,0.0
43.5,-110.0,2019,10,550.8820834922517,15.9612498792269,0.0069060522555624
33.5,-117.5,2019,10,0.0,35.77064685733058,235.6984052731823
34.5,-94.5,2019,10,10.665050438916444,14.944909228473993,0.0
38.0,-119.0,2019,10,201.47116533816367,0.0,0.0
37.0,-119.5,2019,10,285.11564685354824,139.86369523900248,0.7420332125603863
43.5,-119.0,2019,10,742.8053516908258,0.0,0.08962486443852846
43.0,-104.0,2019,10,202.94531026570075,180.19390936922355,4.415232004830956
37.0,-103.0,2019,10,0.0,0.0,3.1384303460514715
43.5,-103.0,2019,10,22.977812198067628,0.0,3.2091981884057925
35.5,-107.0,2019,10,114.70078864734388,1575.8880622033319,0.20646050554535125
