latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
41.0,-123.5,2013,6,0.0,0.2,0.0
33.5,-109.5,2013,6,68.2,7.5,0.0
34.0,-118.0,2013,6,0.0,3.45,0.0
39.0,-105.5,2013,6,516.4800000000001,12.6,0.0
40.5,-112.0,2013,6,0.0,0.95,0.0
36.5,-112.5,2013,6,2.8000000000000003,0.3,0.1
33.5,-117.0,2013,6,0.0,6.649999999999998,4.5
35.5,-118.5,2013,6,0.1,75.8,0.0
44.0,-119.5,2013,6,0.0,0.2,0.0
39.5,-111.0,2013,6,0.1,0.2,3.3000000000000003
41.5,-115.5,2013,6,10.08,0.0,0.0
39.0,-121.0,2013,6,0.0,0.6,1.75
34.5,-119.0,2013,6,0.0,51.81,0.12
43.0,-86.0,2013,6,0.0,0.25,0.0
37.5,-106.5,2013,6,1.7000000000000002,0.0,0.0
43.5,-121.0,2013,6,0.30000000000000004,0.7,0.0
29.0,-81.5,2013,6,75.7,7.3,0.0
33.0,-82.0,2013,6,16.0,3.1,0.0
34.0,-111.5,2013,6,2.15,6.26,0.0
47.0,-114.5,2013,6,0.0,4.6,0.0
43.5,-104.0,2013,6,1.93,0.0,0.0
36.0,-107.0,2013,6,18.4,0.0,0.0
46.5,-114.5,2013,6,0.0,0.2,0.0
40.0,-121.5,2013,6,1.2000000000000002,0.081,0.0
34.5,-111.5,2013,6,1.0,42.40000000000001,0.0
35.5,-105.5,2013,6,3.0,0.25,0.0
45.0,-111.5,2013,6,0.0,0.1,0.0
34.0,-117.5,2013,6,0.0,537.3,3.25
35.5,-119.0,2013,6,0.0,2.3,0.5
33.5,-109.0,2013,6,3.1,0.2,0.0
34.5,-77.0,2013,6,0.0,1.6,0.0
38.5,-112.5,2013,6,1.7,1.2,1.0
39.5,-106.0,2013,6,0.35,2.0000000000000004,0.0
39.0,-108.0,2013,6,14.7,0.1,0.0
34.0,-118.5,2013,6,0.0,3.95,5.1
37.0,-119.0,2013,6,0.5,0.0,0.0
40.5,-122.5,2013,6,0.0,25.67,0.1
34.5,-113.0,2013,6,31.6,6768.5,0.0
32.0,-111.0,2013,6,280.1,93.59999999999998,0.0
44.5,-120.0,2013,6,0.0,5.41,0.0
35.0,-112.5,2013,6,0.83,1.5,0.0
44.0,-122.0,2013,6,0.0,0.5,0.0
37.5,-80.0,2013,6,0.0,0.25,0.0
44.5,-114.5,2013,6,0.1,0.0,0.0
36.5,-106.0,2013,6,1.6,1.0,0.0
46.5,-121.5,2013,6,0.0,0.51,0.0
33.0,-117.0,2013,6,0.0,21.800000000000004,4.65
44.5,-105.0,2013,6,0.2,0.0,0.0
37.0,-119.5,2013,6,0.0,50.95,0.0
48.0,-115.5,2013,6,0.1,0.1,0.0
37.5,-110.0,2013,6,353.90000000000015,0.6,0.0
47.5,-92.0,2013,6,0.1,0.2,0.0
38.0,-112.0,2013,6,0.6000000000000001,0.1,0.0
38.0,-116.0,2013,6,0.0,0.01,0.0
40.0,-112.0,2013,6,0.0,67.82,0.0
38.5,-120.0,2013,6,1.02,4.4,0.0
33.5,-106.0,2013,6,1.2000000000000002,0.0,0.0
36.5,-105.5,2013,6,10.3,0.30000000000000004,0.0
32.5,-110.0,2013,6,0.0,0.4,0.0
42.5,-109.0,2013,6,14.0,0.5499999999999999,0.0
45.0,-124.0,2013,6,0.0,0.2,0.0
35.0,-120.5,2013,6,0.0,491.3,0.0
39.5,-105.5,2013,6,1.4,17.4,0.0
35.0,-112.0,2013,6,9.05,32.18000000000001,0.0
37.0,-108.5,2013,6,15.8,1.2000000000000002,0.0
47.5,-120.5,2013,6,0.01,0.25,0.0
36.5,-107.5,2013,6,0.6,0.0,0.0
34.0,-95.0,2013,6,0.0,3.5,0.0
44.5,-110.0,2013,6,0.1,0.0,0.0
40.5,-123.5,2013,6,0.0,0.83,0.0
39.5,-120.5,2013,6,9.2,0.1,0.0
37.0,-107.0,2013,6,59988.15,0.4,0.0
33.0,-98.0,2013,6,0.1,4.0,0.0
31.0,-111.0,2013,6,0.0,610.0,0.0
33.5,-112.0,2013,6,0.0,6.700000000000001,0.0
36.5,-107.0,2013,6,6.35,0.45,0.0
39.0,-105.0,2013,6,23.9,3.8500000000000014,0.0
40.0,-122.0,2013,6,0.1,0.02,0.0
40.5,-111.0,2013,6,0.0,0.1,0.0
35.5,-106.0,2013,6,11149.75,0.0,0.0
35.0,-108.0,2013,6,2.11,3.0,0.0
30.0,-85.5,2013,6,14.0,0.0,0.0
39.5,-123.0,2013,6,228.05,0.25,0.0
45.0,-114.0,2013,6,0.1,0.1,0.0
37.5,-107.0,2013,6,0.5,0.1,0.0
34.5,-112.0,2013,6,34.45,1.35,0.0
30.0,-84.5,2013,6,0.0,11.4,0.0
43.5,-121.5,2013,6,0.5,1.0299999999999998,0.0
29.0,-82.0,2013,6,5.0,7.85,0.0
43.5,-86.0,2013,6,0.0,2.6,0.0
47.5,-121.0,2013,6,0.0,0.01,0.0
38.5,-115.5,2013,6,0.1,0.0,0.0
35.5,-112.5,2013,6,0.5,250.1,0.0
35.0,-108.5,2013,6,2.21,0.22000000000000006,0.0
44.5,-117.5,2013,6,39.7,1.0,0.0
32.5,-117.0,2013,6,0.0,5.4,7.85
37.5,-109.0,2013,6,0.1,0.0,0.0
37.5,-107.5,2013,6,49628.8,0.0,0.0
37.5,-119.0,2013,6,0.2,0.0,0.0
38.0,-106.5,2013,6,240.35,0.0,0.0
43.0,-111.0,2013,6,0.0,0.1,0.0
41.0,-121.0,2013,6,0.1,1.1,0.0
40.5,-122.0,2013,6,0.30000000000000004,5.5,0.0
31.0,-93.5,2013,6,0.0,36.09,0.0
38.5,-106.0,2013,6,76.2,0.30000000000000004,0.0
45.0,-113.5,2013,6,0.1,0.0,0.0
38.0,-111.5,2013,6,0.0,0.1,0.0
32.5,-108.5,2013,6,9.59,0.30000000000000004,0.0
31.5,-111.0,2013,6,3.6,0.2,1.5
41.0,-112.0,2013,6,0.0,2.12,0.0
38.0,-105.5,2013,6,2.62,3219.699999999999,0.0
43.5,-86.5,2013,6,0.0,0.65,0.0
39.0,-120.5,2013,6,0.1,3.4,1.0
47.0,-121.0,2013,6,0.1,2.62,0.0
32.5,-108.0,2013,6,234000.5,0.1,0.0
36.0,-106.5,2013,6,1.5,0.4400000000000001,0.0
46.5,-112.5,2013,6,3.0000000000000004,0.1,0.0
35.5,-107.0,2013,6,0.1,0.30000000000000004,0.0
36.0,-119.0,2013,6,0.0,28.0,0.0
38.5,-108.5,2013,6,0.4,0.2,0.0
40.5,-107.0,2013,6,0.0,0.1,0.0
40.0,-106.0,2013,6,653.1,1.8000000000000005,0.0
39.0,-123.0,2013,6,2.7,3.1,0.0
43.0,-121.5,2013,6,0.1,0.1,0.0
44.0,-110.0,2013,6,0.1,0.1,0.0
33.5,-117.5,2013,6,0.0,97.28,34.3
41.0,-118.0,2013,6,592.5,0.0,232.2
34.5,-106.5,2013,6,1.35,0.0,0.0
37.0,-107.5,2013,6,0.35,0.6,0.0
44.0,-109.5,2013,6,0.1,0.1,0.0
41.0,-120.5,2013,6,0.30000000000000004,0.0,0.0
48.0,-116.0,2013,6,0.1,0.1,0.0
36.5,-106.5,2013,6,0.35,0.1,0.0
38.5,-105.5,2013,6,8.099999999999998,7.0,0.0
44.0,-83.5,2013,6,0.0,0.55,0.0
32.5,-116.5,2013,6,0.0,0.18,0.0
44.0,-103.5,2013,6,0.0,0.2,0.0
44.0,-116.5,2013,6,0.1,0.0,0.0
40.5,-109.5,2013,6,352.9000000000001,0.0,0.0
41.0,-121.5,2013,6,0.2,0.32,0.0
37.5,-113.0,2013,6,881.1,2.45,0.0
36.0,-105.5,2013,6,6.449999999999998,0.30000000000000004,0.0
35.0,-107.5,2013,6,6.0,1.1,0.0
43.0,-122.5,2013,6,0.0,0.2,0.0
40.0,-107.0,2013,6,0.0,0.1,0.0
40.5,-121.0,2013,6,1.2,1.4,0.0
42.5,-122.0,2013,6,0.1,0.1,0.0
44.5,-122.0,2013,6,0.0,0.1,0.0
37.0,-106.5,2013,6,0.1,0.1,0.0
46.0,-116.0,2013,6,0.1,0.1,0.0
