latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
32.5,-117.0,2013,2,0.0,1.75,0.25
30.0,-95.5,2013,2,0.0,21.05,0.0
34.0,-117.5,2013,2,0.0,0.30000000000000004,0.4
29.0,-82.0,2013,2,0.0,88.07,0.0
29.0,-81.5,2013,2,0.0,651.8000000000002,0.0
34.5,-84.0,2013,2,0.0,40.02,0.0
41.0,-122.5,2013,2,0.0,0.01,0.0
39.5,-105.5,2013,2,0.0,4.1000000000000005,0.0
34.5,-112.5,2013,2,0.0,0.1,0.0
34.5,-82.0,2013,2,0.0,8.93,0.0
34.0,-118.5,2013,2,0.0,1.26,0.0
36.5,-93.0,2013,2,0.0,16.6,0.0
35.5,-94.5,2013,2,0.0,0.4,0.0
32.5,-116.5,2013,2,0.0,0.46,0.0
34.5,-77.0,2013,2,0.0,11.5,0.0
34.5,-93.0,2013,2,55.0,0.0,4.0
38.5,-120.5,2013,2,0.0,0.6,0.0
33.0,-86.0,2013,2,0.0,16.400000000000006,0.0
31.0,-94.5,2013,2,0.0,8.1,0.0
41.5,-123.5,2013,2,0.0,2.0,0.0
35.0,-84.0,2013,2,0.0,66.0,0.0
35.0,-94.0,2013,2,0.0,3.0,8.0
34.0,-112.5,2013,2,0.0,97.1,0.0
37.5,-79.5,2013,2,0.0,124.1,0.0
40.5,-105.0,2013,2,0.0,62.3,0.0
34.5,-81.5,2013,2,0.0,2.4400000000000004,0.0
40.0,-105.5,2013,2,0.30000000000000004,2.700000000000001,0.0
32.5,-108.5,2013,2,1.5,0.25,0.0
34.5,-119.5,2013,2,0.0,0.26,0.0
37.5,-91.5,2013,2,0.0,35.0,0.0
38.5,-83.0,2013,2,0.0,3.75,0.0
39.0,-121.5,2013,2,0.0,4.05,1.0
31.5,-109.5,2013,2,0.0,0.1,0.0
31.5,-93.0,2013,2,0.0,0.1,0.0
37.0,-91.5,2013,2,0.0,78.0,0.0
38.0,-83.5,2013,2,0.0,94.1,0.0
39.0,-105.5,2013,2,0.0,1.9,0.0
43.5,-121.5,2013,2,0.0,0.2,0.0
34.5,-83.5,2013,2,0.0,17.11,0.0
34.5,-112.0,2013,2,0.0,0.1,0.0
33.5,-117.5,2013,2,0.0,2.3,300.55
38.5,-79.5,2013,2,0.0,4.5,0.0
34.5,-85.5,2013,2,0.0,17.17,0.0
33.0,-98.0,2013,2,0.0,22.0,0.0
30.0,-85.0,2013,2,0.0,48.3,0.0
35.5,-121.5,2013,2,0.0,0.35,0.0
35.0,-85.0,2013,2,0.0,3.0,0.0
34.0,-94.0,2013,2,0.0,1.5,0.0
33.5,-116.5,2013,2,0.0,4.5,113.38
34.5,-84.5,2013,2,0.0,0.47,0.0
38.5,-120.0,2013,2,0.0,0.1,0.0
30.0,-84.5,2013,2,0.0,32.1,0.0
34.5,-118.5,2013,2,0.0,0.1,0.21
31.0,-95.5,2013,2,0.0,12.8,0.0
35.5,-111.0,2013,2,0.0,13.5,0.0
35.5,-110.5,2013,2,0.0,0.1,0.0
33.0,-112.0,2013,2,0.0,0.9,0.0
32.5,-112.0,2013,2,0.0,0.1,0.0
31.5,-112.0,2013,2,0.0,0.1,0.0
33.0,-110.5,2013,2,0.0,2.3,0.0
33.0,-110.0,2013,2,0.0,1.5,0.0
32.5,-115.5,2013,2,0.0,0.2,3.0
36.5,-118.5,2013,2,0.0,0.5,407.12
41.0,-124.0,2013,2,0.0,11.5,1.0
25.0,-80.5,2013,2,0.0,55.0,200.0
25.5,-81.0,2013,2,0.0,5.0,0.3
27.0,-81.5,2013,2,0.0,8.8,0.0
30.5,-81.5,2013,2,0.2,0.0,0.0
43.0,-116.5,2013,2,0.0,1.5,0.0
42.5,-115.5,2013,2,0.0,2.0,0.0
43.0,-117.0,2013,2,0.0,0.3,0.0
39.5,-79.0,2013,2,0.0,0.7,0.0
32.5,-89.5,2013,2,0.0,104.0,0.0
32.0,-90.5,2013,2,0.0,10.1,0.0
34.5,-88.0,2013,2,0.0,9.4,0.0
32.5,-90.0,2013,2,0.0,71.4,0.0
48.5,-113.5,2013,2,0.0,0.7,0.0
48.5,-114.0,2013,2,0.0,0.3,0.0
46.0,-109.0,2013,2,0.0,0.1,0.0
46.0,-108.5,2013,2,0.0,0.1,0.0
47.5,-114.5,2013,2,0.0,0.4,0.0
45.5,-101.0,2013,2,0.0,0.0,0.1
45.5,-101.5,2013,2,0.0,0.1,0.0
46.0,-101.0,2013,2,0.0,0.1,0.0
32.0,-104.5,2013,2,0.0,28.0,0.0
33.5,-104.5,2013,2,0.0,0.1,0.0
32.5,-104.5,2013,2,0.0,0.5,0.0
32.5,-104.0,2013,2,0.0,0.5,0.0
35.0,-107.5,2013,2,0.0,0.1,0.0
33.0,-106.0,2013,2,0.0,0.2,0.0
33.5,-105.0,2013,2,0.0,0.0,1.0
33.0,-105.0,2013,2,0.0,0.0,0.5
35.0,-107.0,2013,2,0.0,1.3,0.0
34.5,-107.0,2013,2,0.0,37.3,0.0
36.0,-115.5,2013,2,0.0,0.1,0.0
40.5,-74.0,2013,2,0.2,9.799999999999994,0.0
35.0,-99.0,2013,2,0.0,57.5,0.0
35.0,-98.5,2013,2,0.0,17.9,0.0
35.5,-95.0,2013,2,0.0,194.5,0.0
36.0,-96.0,2013,2,0.0,75.0,0.0
35.0,-96.5,2013,2,0.0,0.3,0.0
35.5,-96.0,2013,2,0.0,12.0,0.0
36.0,-96.5,2013,2,0.0,0.5,0.0
36.5,-96.5,2013,2,0.0,13.7,0.0
34.5,-97.5,2013,2,0.0,0.8,0.0
34.5,-95.0,2013,2,0.0,71.0,0.0
35.0,-97.0,2013,2,0.0,3.8,0.0
44.0,-121.5,2013,2,0.0,0.2,0.0
44.5,-121.5,2013,2,0.0,0.1,0.0
45.0,-101.5,2013,2,0.0,0.2,0.0
44.5,-101.5,2013,2,0.0,0.3,0.0
43.0,-103.0,2013,2,0.0,0.1,0.0
43.5,-102.0,2013,2,0.0,1.0,0.0
43.0,-102.5,2013,2,0.0,0.5,0.0
43.0,-101.0,2013,2,0.0,5.5,0.0
43.0,-101.5,2013,2,0.0,11.0,0.0
37.0,-112.5,2013,2,0.0,0.1,0.0
30.0,-89.0,2013,2,0.0,0.1,2.1
30.0,-98.0,2013,2,0.0,7.0,6.3
37.5,-121.5,2013,2,0.0,0.2,0.26
17.5,-67.5,2013,2,0.0,0.0,1.1
26.0,-81.5,2013,2,0.0,554.0,0.0
28.0,-81.0,2013,2,0.0,53.0,10.0
38.0,-76.5,2013,2,0.0,240.0,0.0
35.5,-76.0,2013,2,0.0,5.6999999999999975,0.3
18.0,-67.5,2013,2,0.0,34.4,0.0
30.5,-89.0,2013,2,0.0,116.1,0.0
29.5,-96.0,2013,2,0.0,1759.4,0.0
30.0,-90.0,2013,2,0.0,3.5,0.0
28.5,-81.0,2013,2,0.0,0.3,7.0
35.5,-76.5,2013,2,0.0,0.2,0.0
32.0,-113.0,2013,2,0.0,0.1,0.0
38.0,-95.0,2013,2,0.0,0.0,53.0
32.5,-94.5,2013,2,0.0,32.7,0.0
34.5,-99.0,2013,2,0.0,0.6000000000000001,0.0
34.5,-87.0,2013,2,0.0,0.0,1.0
26.0,-98.5,2013,2,0.0,2.2,0.2
30.5,-98.5,2013,2,0.0,14.0,0.0
26.0,-97.5,2013,2,0.0,0.2,0.0
39.0,-122.5,2013,2,0.0,5.5,0.0
26.0,-82.5,2013,2,0.0,0.1,0.0
18.0,-65.5,2013,2,0.0,0.0,3.5
39.0,-119.0,2013,2,0.0,2.4,0.0
26.0,-98.0,2013,2,0.0,2.0,0.0
33.0,-114.5,2013,2,0.0,0.1,0.0
62.0,-146.5,2013,2,0.0,0.1,0.0
33.5,-118.0,2013,2,0.0,2.21,0.01
39.5,-121.5,2013,2,0.0,1.1,0.0
39.0,-122.0,2013,2,0.0,0.75,0.13
34.0,-118.0,2013,2,0.0,0.37,0.2
37.0,-121.0,2013,2,0.0,0.6,0.2
36.5,-121.0,2013,2,0.0,0.0,0.2
35.0,-118.5,2013,2,0.0,10.05,0.01
37.5,-122.0,2013,2,0.0,0.01,0.01
36.0,-121.0,2013,2,0.0,2.0,0.0
37.0,-122.0,2013,2,0.0,0.01,0.0
38.0,-122.0,2013,2,0.0,0.0,1.02
33.5,-117.0,2013,2,0.0,2.1100000000000003,0.1
36.5,-122.0,2013,2,0.0,3.2,0.1
38.0,-123.0,2013,2,0.0,0.1,0.1
32.5,-117.5,2013,2,0.0,1.03,0.0
33.0,-117.5,2013,2,0.0,2.22,1.0
38.5,-121.5,2013,2,0.0,2.02,0.1
39.0,-121.0,2013,2,0.0,0.11,0.0
38.5,-122.0,2013,2,0.0,0.0,0.11
36.0,-120.5,2013,2,0.0,3.0,0.0
37.5,-122.5,2013,2,0.0,0.06000000000000001,0.0
38.5,-123.0,2013,2,0.0,2.02,0.0
35.0,-119.5,2013,2,0.0,0.1,1.0
33.5,-115.0,2013,2,0.0,0.1,0.1
36.0,-120.0,2013,2,0.0,1.01,0.11
39.5,-122.5,2013,2,0.0,0.2,0.0
33.0,-117.0,2013,2,0.0,1.0,1.0
40.5,-122.5,2013,2,0.0,0.5,0.0
40.5,-123.0,2013,2,0.0,12.5,0.0
37.5,-120.5,2013,2,0.0,0.1,0.0
33.0,-118.0,2013,2,0.0,0.5,0.0
34.0,-120.0,2013,2,0.0,0.05,0.0
33.5,-118.5,2013,2,0.0,2.1,0.0
40.0,-122.5,2013,2,0.0,2.25,0.5
34.0,-117.0,2013,2,0.0,0.1,0.0
39.0,-123.5,2013,2,0.0,0.25,0.0
35.0,-121.0,2013,2,0.0,1.0,0.0
37.0,-120.5,2013,2,0.0,0.0,0.06000000000000001
38.0,-122.5,2013,2,0.0,0.5,0.01
40.5,-124.5,2013,2,0.0,0.0,0.1
39.5,-122.0,2013,2,0.0,1.2,0.0
40.0,-122.0,2013,2,0.0,5.0,0.0
37.0,-120.0,2013,2,0.0,0.0,0.18
37.0,-122.5,2013,2,0.0,2.01,0.01
37.0,-121.5,2013,2,0.0,0.0,0.1
40.5,-122.0,2013,2,0.0,0.25,0.0
35.0,-119.0,2013,2,0.0,0.01,0.01
41.5,-123.0,2013,2,0.0,0.1,0.0
38.0,-121.0,2013,2,0.0,0.25,0.0
32.5,-116.0,2013,2,0.0,0.5,0.0
34.0,-119.0,2013,2,0.0,0.0,0.1
36.5,-122.5,2013,2,0.0,0.01,0.0
38.0,-120.5,2013,2,0.0,1.0,0.0
41.5,-99.5,2013,2,0.0,6.0,0.0
40.0,-100.5,2013,2,0.0,10.0,0.0
41.0,-99.5,2013,2,0.0,1.0,0.0
42.5,-103.0,2013,2,0.0,120.0,0.0
40.0,-97.0,2013,2,0.0,0.5,0.0
42.0,-97.5,2013,2,0.0,1.3000000000000005,0.0
40.5,-100.0,2013,2,5.0,0.30000000000000004,0.0
40.0,-96.0,2013,2,0.0,1.0,0.0
41.0,-98.0,2013,2,0.0,100.0,0.0
40.5,-96.0,2013,2,0.0,21.0,0.0
41.0,-97.5,2013,2,0.0,0.2,0.0
42.5,-98.5,2013,2,0.0,45.0,0.0
41.0,-96.5,2013,2,0.0,0.1,0.0
40.5,-97.0,2013,2,0.0,1.01,0.0
41.0,-96.0,2013,2,0.0,0.1,0.0
48.5,-119.5,2013,2,0.0,1.7,0.0
43.0,-104.0,2013,2,0.0,7.5,0.0
43.5,-103.5,2013,2,0.0,0.2,0.0
43.5,-104.0,2013,2,0.0,0.1,0.0
44.0,-103.5,2013,2,0.0,0.1,0.0
44.5,-100.5,2013,2,0.0,0.1,0.0
45.0,-104.5,2013,2,0.0,5.0,0.0
44.5,-103.5,2013,2,0.0,0.2,0.0
42.5,-124.0,2013,2,0.01,0.0,0.0
37.5,-109.5,2013,2,0.0,0.1,0.0
36.0,-106.5,2013,2,0.0,0.1,0.0
35.0,-105.5,2013,2,0.0,2.0,0.0
34.0,-104.5,2013,2,0.0,0.1,0.0
35.0,-106.0,2013,2,0.0,0.13,0.0
39.0,-105.0,2013,2,0.0,2.8000000000000003,0.0
38.0,-103.5,2013,2,0.0,0.1,0.0
40.0,-105.0,2013,2,0.0,11.4,0.0
37.0,-105.0,2013,2,0.0,0.8999999999999999,0.0
39.5,-105.0,2013,2,0.1,6.6999999999999975,0.0
40.5,-105.5,2013,2,0.0,1.0,0.0
38.0,-105.5,2013,2,0.0,1.2,0.0
37.5,-103.5,2013,2,0.0,10.0,0.0
38.0,-105.0,2013,2,0.0,1.8500000000000008,0.0
38.0,-104.5,2013,2,0.0,0.5,0.0
38.0,-103.0,2013,2,0.0,1002.1,0.0
37.5,-108.0,2013,2,0.0,0.1,0.0
39.0,-109.0,2013,2,0.0,0.30000000000000004,0.0
38.5,-104.5,2013,2,0.0,0.2,0.0
38.5,-105.0,2013,2,0.1,3.0000000000000004,0.0
38.5,-103.0,2013,2,0.0,400.0,0.0
37.0,-106.0,2013,2,0.0,0.1,0.0
39.5,-106.5,2013,2,0.0,0.1,0.0
38.0,-108.5,2013,2,0.0,0.1,0.0
40.5,-102.5,2013,2,0.0,0.1,0.0
39.5,-106.0,2013,2,0.0,0.1,0.0
39.0,-108.5,2013,2,0.0,0.1,0.0
37.0,-102.5,2013,2,0.1,0.0,0.0
40.0,-104.0,2013,2,0.0,0.1,0.0
38.0,-108.0,2013,2,0.0,0.1,0.0
39.5,-104.5,2013,2,0.0,1.1,0.0
40.0,-106.0,2013,2,0.0,0.1,0.0
39.0,-104.5,2013,2,0.0,60.1,0.0
39.5,-107.0,2013,2,0.0,0.1,0.0
37.5,-105.5,2013,2,0.0,0.1,0.0
38.0,-106.0,2013,2,0.0,0.1,0.0
37.5,-106.0,2013,2,0.0,0.1,0.0
29.5,-82.5,2013,2,0.0,4.599999999999999,0.0
29.5,-82.0,2013,2,0.0,80.09999999999998,0.0
37.5,-82.5,2013,2,0.0,160.2,0.0
38.0,-82.5,2013,2,0.0,24.1,0.0
38.5,-82.5,2013,2,0.0,1.2,0.0
37.5,-82.0,2013,2,0.0,10.8,0.0
38.0,-82.0,2013,2,0.0,111.0,0.0
38.5,-82.0,2013,2,0.0,3.0,0.0
38.0,-81.5,2013,2,0.0,32.5,0.0
37.0,-81.5,2013,2,0.0,0.1,0.0
37.5,-81.5,2013,2,0.0,0.2,0.0
39.0,-80.0,2013,2,0.0,0.5,0.0
37.0,-89.0,2013,2,0.0,5.0,0.0
40.0,-89.5,2013,2,0.0,0.1,0.0
47.0,-93.0,2013,2,0.0,0.01,0.0
40.5,-74.5,2013,2,0.1,0.2,0.0
42.5,-74.0,2013,2,0.1,0.1,0.0
43.0,-73.5,2013,2,0.0,0.5,0.0
43.0,-78.5,2013,2,0.0,0.2,0.0
41.5,-74.0,2013,2,0.0,0.2,0.0
41.0,-72.5,2013,2,0.0,0.1,0.0
43.0,-75.5,2013,2,0.0,0.1,0.0
44.5,-75.5,2013,2,0.0,0.1,0.0
42.0,-77.5,2013,2,0.1,0.0,0.0
40.5,-73.5,2013,2,0.0,0.30000000000000004,0.0
41.0,-74.0,2013,2,0.0,0.2,0.0
42.0,-76.0,2013,2,0.0,0.1,0.0
42.0,-77.0,2013,2,0.0,0.1,0.0
42.5,-77.0,2013,2,0.0,0.2,0.0
41.5,-94.5,2013,2,0.0,4.0,0.0
40.0,-74.5,2013,2,0.0,2.0,0.0
39.0,-75.0,2013,2,0.0,0.25,0.0
42.5,-96.0,2013,2,0.0,1.0,0.0
41.0,-95.5,2013,2,0.0,2.0,0.0
40.5,-75.0,2013,2,0.0,0.5,0.0
43.0,-78.0,2013,2,0.0,0.1,0.0
