latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
37.0,-90.5,2007,4,0.0,7.0,0.0
37.5,-80.0,2007,4,0.0,1086.7,0.0
38.5,-121.0,2007,4,0.0,2.02,0.0
43.5,-86.0,2007,4,0.0,7.8,0.0
32.5,-106.0,2007,4,0.0,4.25,0.0
37.0,-91.5,2007,4,0.0,83.0,0.0
34.5,-94.0,2007,4,0.0,6.5,0.0
34.5,-93.5,2007,4,0.0,29.1,0.0
37.0,-89.5,2007,4,0.0,3.3000000000000003,0.0
37.5,-92.5,2007,4,0.0,1452.0,0.0
36.5,-91.5,2007,4,0.0,667.65,0.0
36.5,-91.0,2007,4,0.0,315.1,0.0
36.0,-82.0,2007,4,0.0,144.2,4.599999999999999
35.5,-82.5,2007,4,0.0,412.1,216.49999999999991
37.0,-91.0,2007,4,0.0,207.0,0.0
34.0,-111.5,2007,4,6.699999999999998,0.5,0.0
35.0,-84.0,2007,4,0.0,236.85,9.2
33.0,-83.5,2007,4,0.0,29.24,0.0
34.5,-94.5,2007,4,18.0,13.8,0.0
35.5,-94.5,2007,4,0.0,57.0,0.0
33.5,-111.5,2007,4,0.0,1.55,0.0
39.0,-123.0,2007,4,0.0,31.1,0.0
45.5,-118.5,2007,4,0.0,0.1,0.0
34.0,-83.5,2007,4,0.0,33.82,0.0
37.0,-92.5,2007,4,0.0,46.0,0.0
37.5,-91.0,2007,4,0.0,13.0,0.0
37.5,-90.5,2007,4,0.0,8.3,0.0
44.0,-103.5,2007,4,0.0,0.2,0.0
38.0,-87.0,2007,4,0.0,4.2,0.0
36.5,-93.0,2007,4,0.0,384.0,0.0
47.0,-115.0,2007,4,0.0,3.5500000000000003,0.0
35.5,-83.0,2007,4,0.0,2.5,77.49999999999999
34.5,-77.5,2007,4,0.0,92.0,41.80000000000001
34.5,-77.0,2007,4,0.0,13.0,33.4
47.0,-95.0,2007,4,0.0,15.8,0.0
34.5,-83.5,2007,4,0.0,66.47000000000001,0.0
34.5,-84.0,2007,4,0.0,563.9400000000003,0.0
44.0,-121.5,2007,4,0.0,0.2,0.0
31.0,-93.0,2007,4,0.0,41.0,0.0
43.5,-121.5,2007,4,0.0,0.2,0.0
34.5,-112.5,2007,4,0.0,0.1,0.0
37.5,-91.5,2007,4,0.0,32.0,0.0
36.0,-92.5,2007,4,0.0,45.0,0.0
35.0,-112.0,2007,4,0.0,7.399999999999999,0.0
43.0,-86.0,2007,4,0.0,2.0,0.0
36.5,-90.5,2007,4,0.0,5.1,0.0
40.0,-123.5,2007,4,0.0,0.02,0.0
40.5,-123.5,2007,4,0.0,0.41,0.0
39.5,-121.0,2007,4,0.0,1.05,0.0
34.5,-112.0,2007,4,0.0,0.2,0.0
48.5,-115.5,2007,4,0.0,35.2,0.0
48.0,-116.0,2007,4,0.0,4.25,0.0
35.0,-93.5,2007,4,0.0,7.0,0.0
35.5,-112.5,2007,4,0.1,0.1,0.0
44.0,-86.0,2007,4,0.0,2.5,0.0
47.5,-95.0,2007,4,0.0,132.11,0.0
47.0,-94.0,2007,4,0.0,23.56,0.0
37.0,-89.0,2007,4,0.0,4.0,0.0
37.5,-89.0,2007,4,0.0,2.5,0.0
47.5,-94.0,2007,4,0.0,5.1,0.0
47.5,-94.5,2007,4,0.0,4.8,0.0
38.5,-120.0,2007,4,0.0,0.25,0.0
44.0,-85.0,2007,4,0.0,0.75,0.0
44.5,-84.0,2007,4,0.0,6.22,0.0
33.0,-80.0,2007,4,0.0,146.36,0.0
36.5,-82.5,2007,4,28.0,324.2,0.0
32.0,-111.0,2007,4,0.0,2.25,0.0
39.0,-86.5,2007,4,0.0,0.1,321.0
44.0,-86.5,2007,4,0.0,7.0,0.0
46.0,-112.5,2007,4,0.0,5.8,0.0
37.5,-84.0,2007,4,0.0,324.0,0.0
34.0,-118.0,2007,4,0.0,17.25,0.0
36.5,-92.5,2007,4,0.0,28.0,254.0
36.5,-94.0,2007,4,0.0,11.0,0.0
41.0,-122.5,2007,4,0.0,3.1,0.0
34.5,-111.5,2007,4,0.0,0.1,0.0
34.5,-113.0,2007,4,0.0,0.1,0.0
37.0,-84.0,2007,4,0.0,396.0,0.0
43.5,-103.5,2007,4,0.0,0.1,0.0
37.0,-83.5,2007,4,0.0,1251.5,0.0
37.0,-84.5,2007,4,0.0,317.0,0.0
33.5,-109.0,2007,4,0.1,2.3,0.0
36.5,-84.5,2007,4,0.0,630.25,0.0
33.5,-82.0,2007,4,0.0,140.44,0.0
37.5,-79.0,2007,4,12.0,42.43,0.0
36.0,-106.5,2007,4,0.0,0.2,0.0
37.5,-84.5,2007,4,0.0,217.0,0.0
41.0,-124.0,2007,4,0.0,6.399999999999999,0.1
40.5,-124.0,2007,4,0.0,0.2,0.0
46.5,-89.0,2007,4,0.0,1170.3,0.0
46.0,-89.0,2007,4,0.0,49.45,0.0
37.5,-89.5,2007,4,0.0,5.0,0.0
44.0,-83.5,2007,4,0.0,17.12,0.0
44.0,-84.0,2007,4,0.0,1.0,0.0
32.5,-80.0,2007,4,0.0,113.6,0.0
35.0,-83.5,2007,4,0.0,391.90000000000015,113.6
47.5,-92.0,2007,4,0.0,0.11,0.0
34.5,-85.5,2007,4,0.0,33.5,0.0
48.0,-117.0,2007,4,0.0,0.1,0.63
41.0,-122.0,2007,4,0.0,1.2000000000000002,0.0
34.5,-85.0,2007,4,0.0,80.61000000000001,0.0
34.5,-84.5,2007,4,0.1,139.33000000000004,0.0
34.0,-95.0,2007,4,0.0,386.0,138.79999999999998
44.0,-100.5,2007,4,0.0,0.6,0.0
35.0,-83.0,2007,4,0.0,278.6,186.39999999999995
33.5,-117.5,2007,4,0.0,33.30000000000001,0.0
34.0,-118.5,2007,4,0.0,30.1,0.0
29.0,-82.0,2007,4,8.0,27.800000000000004,0.0
36.5,-85.0,2007,4,0.0,189.0,0.0
34.0,-111.0,2007,4,0.30000000000000004,0.1,0.0
34.5,-118.5,2007,4,0.0,52.0,0.0
42.5,-112.5,2007,4,0.0,0.1,0.0
35.5,-94.0,2007,4,0.0,203.1,0.0
44.0,-104.0,2007,4,0.0,4.65,0.0
33.5,-112.0,2007,4,0.0,0.1,0.0
47.0,-94.5,2007,4,0.0,22.6,0.0
34.0,-112.0,2007,4,0.35,0.0,0.0
41.5,-123.5,2007,4,0.0,0.1,0.0
40.5,-122.5,2007,4,0.0,1.75,0.0
35.0,-112.5,2007,4,3.0,0.25,0.0
36.0,-121.5,2007,4,0.0,1.6,0.0
34.5,-119.5,2007,4,0.0,7.3,0.0
35.5,-121.5,2007,4,0.0,2.1,0.0
36.0,-122.0,2007,4,0.0,2.0,0.0
47.0,-114.5,2007,4,0.0,1.0,0.0
39.0,-121.0,2007,4,0.0,6.300000000000002,0.0
39.5,-120.5,2007,4,0.0,0.16,0.0
43.5,-119.0,2007,4,0.0,0.1,9.9
33.0,-111.0,2007,4,0.0,1.1,0.0
43.5,-122.5,2007,4,0.1,0.0,0.0
45.0,-106.5,2007,4,0.1,0.0,0.0
38.0,-109.5,2007,4,0.0,0.01,0.0
37.0,-109.0,2007,4,0.1,0.2,0.0
40.5,-123.0,2007,4,0.0,11.75,0.0
46.0,-116.0,2007,4,0.0,0.1,0.0
35.0,-119.0,2007,4,0.0,0.1,0.0
35.0,-94.0,2007,4,4005.5,45.0,0.0
44.0,-122.0,2007,4,0.0,24.1,0.0
34.0,-113.0,2007,4,0.0,0.1,0.0
37.0,-119.5,2007,4,98.0,1.0,0.0
31.5,-109.5,2007,4,10.0,0.0,0.0
35.5,-82.0,2007,4,0.0,2644.0,195.99999999999986
38.5,-106.5,2007,4,0.0,0.1,0.0
34.0,-110.5,2007,4,0.0,1.5,0.0
45.5,-85.0,2007,4,0.0,5.6,0.0
46.0,-85.0,2007,4,0.0,0.1,0.0
34.5,-119.0,2007,4,45.0,0.35,0.0
34.0,-110.0,2007,4,0.0,0.4,0.0
45.5,-116.0,2007,4,0.0,2.0,0.0
34.0,-117.5,2007,4,0.0,5.5,0.0
39.0,-120.0,2007,4,0.1,264.1,0.0
39.5,-120.0,2007,4,0.0,3.5,0.0
37.0,-118.5,2007,4,0.0,77.1,0.0
36.5,-88.5,2007,4,1.8,2.0,0.0
36.5,-88.0,2007,4,0.0,10.1,0.0
33.0,-82.0,2007,4,0.0,34.97000000000001,0.0
34.5,-89.5,2007,4,0.0,213.4,0.0
31.0,-89.5,2007,4,0.0,19.93,0.0
30.5,-89.0,2007,4,0.0,341.0,0.0
31.0,-89.0,2007,4,0.0,16.6,0.0
30.5,-89.5,2007,4,0.0,37.0,0.0
41.0,-79.0,2007,4,0.0,0.2,0.0
41.5,-79.5,2007,4,0.0,0.11,0.0
34.0,-119.0,2007,4,0.0,8.0,0.4
36.0,-116.0,2007,4,0.0,164.0,0.0
38.0,-83.5,2007,4,0.0,59.0,0.0
31.5,-111.0,2007,4,533.2,8.0,0.1
38.5,-80.0,2007,4,0.1,14.2,0.0
37.5,-80.5,2007,4,0.0,4.0,0.0
37.0,-107.0,2007,4,0.0,0.1,0.0
44.5,-117.0,2007,4,0.0,0.1,0.0
47.5,-123.5,2007,4,0.0,0.1,0.0
45.5,-122.0,2007,4,0.0,0.2,0.0
