latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
35.5,-82.0,2005,4,2.0,50.80000000000002,0.0
43.5,-121.5,2005,4,0.0,0.35,0.0
44.5,-107.5,2005,4,0.0,2.2,0.0
48.5,-115.5,2005,4,0.0,2.2,0.0
44.0,-107.0,2005,4,0.0,0.25,0.0
34.0,-118.0,2005,4,0.0,0.2,0.0
48.5,-115.0,2005,4,0.0,26.200000000000006,0.0
33.5,-117.5,2005,4,0.0,101.6,0.0
48.5,-116.0,2005,4,0.0,17.3,0.0
33.5,-109.5,2005,4,0.0,2.0,0.0
47.5,-92.0,2005,4,0.0,90.4,0.0
47.5,-95.0,2005,4,1.3,408.14,0.0
47.0,-94.0,2005,4,0.0,37.15000000000001,0.0
47.0,-94.5,2005,4,0.0,5.539999999999997,0.0
47.5,-94.0,2005,4,0.0,28.21,0.0
31.0,-95.5,2005,4,55.0,0.3,0.0
31.0,-94.0,2005,4,95.25,123.9,0.0
35.0,-111.5,2005,4,0.0,0.25,0.0
35.0,-112.0,2005,4,0.0,2.25,0.0
32.5,-117.0,2005,4,0.0,0.7999999999999999,0.0
47.0,-95.0,2005,4,0.0,21.67,0.0
39.5,-122.0,2005,4,0.0,2.1,0.0
36.0,-107.0,2005,4,0.0,0.45,0.0
35.0,-108.5,2005,4,1.1,1.6,0.0
34.5,-108.0,2005,4,0.0,0.25,0.0
34.0,-107.5,2005,4,0.0,0.1,0.0
47.0,-114.5,2005,4,0.0,2.0,0.0
44.0,-119.5,2005,4,0.0,0.1,0.0
44.0,-120.5,2005,4,0.0,0.1,0.0
32.5,-80.0,2005,4,0.0,5.7,0.0
45.0,-106.5,2005,4,1199.1,0.0,0.0
31.0,-93.0,2005,4,105.25,20.0,0.0
31.5,-93.5,2005,4,261.0,18.0,0.0
31.0,-93.5,2005,4,5.25,1310.5,0.0
48.0,-114.0,2005,4,0.0,0.35,0.0
37.0,-102.0,2005,4,0.0,0.5,0.0
39.5,-121.0,2005,4,0.0,0.1,0.0
33.0,-108.5,2005,4,170.0,0.0,0.0
43.5,-122.5,2005,4,0.4,0.0,0.0
33.0,-117.0,2005,4,0.0,3.2,0.0
33.0,-111.5,2005,4,0.0,1.1,0.5
40.0,-124.0,2005,4,0.0,0.75,0.0
40.5,-124.0,2005,4,0.0,0.1,0.0
40.0,-123.5,2005,4,0.2,0.0,0.0
42.0,-123.5,2005,4,0.2,1.25,0.0
29.0,-82.0,2005,4,0.0,4.4,0.0
28.5,-82.0,2005,4,0.0,27.6,0.0
45.0,-112.5,2005,4,0.0,6.0,0.0
44.0,-104.0,2005,4,0.0,788.0,0.5
34.0,-95.0,2005,4,0.0,0.5,19.4
36.5,-93.0,2005,4,0.0,202.2,0.0
37.0,-92.5,2005,4,0.0,194.0,0.0
37.0,-92.0,2005,4,0.0,40.0,0.0
36.5,-93.5,2005,4,0.0,8.1,0.0
36.5,-92.5,2005,4,0.0,3.5,0.0
35.0,-84.0,2005,4,0.0,54.8,0.0
47.0,-111.0,2005,4,0.0,1.6,0.0
37.5,-92.5,2005,4,0.0,144.0,0.0
39.0,-105.5,2005,4,0.0,0.1,0.5
38.5,-105.0,2005,4,0.0,0.2,3.0
46.0,-114.5,2005,4,0.0,0.1,0.0
43.5,-86.0,2005,4,0.0,51.75,2.0
35.5,-93.5,2005,4,0.0,64.65,0.0
36.0,-92.5,2005,4,0.0,76.7,0.0
43.5,-83.0,2005,4,0.0,66.0,0.0
43.0,-86.0,2005,4,0.0,43.08,0.0
44.0,-86.5,2005,4,0.0,1.1,0.0
44.0,-86.0,2005,4,0.0,14.1,0.0
35.5,-94.0,2005,4,0.0,36.9,0.0
40.5,-122.5,2005,4,0.0,2.2,0.0
34.5,-94.0,2005,4,120.0,22.0,0.0
38.5,-83.0,2005,4,0.0,306.0,106.5
35.5,-100.0,2005,4,0.0,1.1,0.0
35.0,-106.5,2005,4,0.0,0.95,0.0
35.5,-94.5,2005,4,0.0,11.0,0.0
37.0,-91.5,2005,4,0.0,249.0,334.0
36.5,-91.5,2005,4,0.0,328.75,0.0
34.5,-77.5,2005,4,0.0,59.30000000000001,0.0
34.5,-77.0,2005,4,0.0,2.9,0.0
36.5,-91.0,2005,4,0.0,132.75,0.0
47.5,-115.5,2005,4,0.0,3.1,0.0
37.0,-90.5,2005,4,0.0,140.75,0.0
36.5,-84.5,2005,4,0.0,486.05,44.0
37.5,-84.0,2005,4,0.0,1.0,121.0
36.5,-85.0,2005,4,0.0,70.75,6.0
37.0,-84.5,2005,4,0.0,13.0,70.5
37.5,-91.5,2005,4,0.0,158.55,0.0
37.5,-91.0,2005,4,0.0,7.81,0.0
38.0,-83.5,2005,4,0.0,45.0,65.5
37.0,-91.0,2005,4,0.0,3.78,3422.0
46.0,-89.5,2005,4,0.0,3.97,0.0
45.0,-111.0,2005,4,0.0,1.1,0.0
34.0,-94.0,2005,4,0.0,97.14,0.0
39.0,-86.5,2005,4,0.0,34.0,0.0
38.5,-86.5,2005,4,0.0,1.0,0.0
38.0,-87.0,2005,4,0.0,1.8,0.0
38.5,-87.0,2005,4,0.0,10.0,0.0
37.0,-83.5,2005,4,0.0,3.0,2025.5
44.5,-111.5,2005,4,0.0,0.1,0.0
41.5,-123.5,2005,4,0.0,0.01,0.0
38.5,-79.5,2005,4,0.0,15.799999999999995,0.0
36.5,-82.5,2005,4,0.0,63.40000000000001,0.1
37.5,-80.5,2005,4,0.0,106.7,0.0
34.0,-118.5,2005,4,0.0,1.1,0.0
34.5,-118.5,2005,4,0.0,0.30000000000000004,0.0
37.0,-89.5,2005,4,0.0,47.0,0.0
34.5,-94.5,2005,4,0.0,23.0,0.0
37.0,-84.0,2005,4,0.0,45.0,291.7
44.5,-116.0,2005,4,0.1,0.0,0.0
31.0,-110.5,2005,4,0.0,140.6,0.0
35.5,-93.0,2005,4,0.0,185.65,0.0
35.0,-93.5,2005,4,0.0,27.5,0.0
32.0,-111.0,2005,4,0.0,0.2,0.0
60.0,-149.5,2005,4,0.0,2.3,0.0
48.0,-117.5,2005,4,0.0,3.1,0.0
33.0,-83.5,2005,4,0.0,15.44,0.0
37.0,-106.5,2005,4,0.0,0.1,0.0
33.0,-105.5,2005,4,0.0,1.35,0.0
33.0,-106.0,2005,4,0.7,0.31000000000000005,0.0
35.5,-104.5,2005,4,0.5,0.0,0.0
46.0,-97.5,2005,4,0.0,3.0,0.0
47.5,-92.5,2005,4,0.0,10.0,0.0
47.5,-91.5,2005,4,0.0,0.5,0.0
38.5,-80.0,2005,4,0.0,1.5000000000000002,0.0
38.5,-80.5,2005,4,0.0,37.3,0.0
38.0,-80.5,2005,4,0.1,0.5,0.0
35.0,-83.5,2005,4,0.0,117.9,0.0
35.0,-84.5,2005,4,0.0,141.7,0.0
34.0,-113.0,2005,4,0.0,0.2,0.0
34.0,-112.5,2005,4,0.0,34.1,0.0
42.5,-101.5,2005,4,1.1,0.0,0.0
34.5,-112.0,2005,4,0.1,0.1,0.0
46.5,-91.5,2005,4,0.0,0.31,0.0
47.0,-92.5,2005,4,0.0,46.55,0.0
45.0,-89.0,2005,4,0.0,17.03,0.0
37.0,-81.5,2005,4,0.0,13.4,0.0
45.5,-89.0,2005,4,0.0,1.7600000000000002,0.0
34.5,-83.5,2005,4,10.0,17.330000000000002,0.0
35.0,-83.0,2005,4,0.0,52.00000000000002,0.0
46.0,-89.0,2005,4,0.0,4.8,0.0
34.5,-84.5,2005,4,0.0,12.56,0.0
45.0,-88.5,2005,4,0.0,20.040000000000006,0.0
37.0,-80.5,2005,4,0.0,5.0,0.0
46.0,-91.0,2005,4,0.0,13.88,0.0
45.5,-90.5,2005,4,0.0,5.83,0.0
45.5,-91.5,2005,4,0.0,23.410000000000004,0.0
35.5,-83.5,2005,4,0.0,506.1,0.0
48.5,-120.0,2005,4,0.0,0.25,0.0
35.0,-80.5,2005,4,0.0,5.1,0.0
45.0,-91.0,2005,4,0.0,33.15,0.0
41.0,-79.0,2005,4,0.0,9.454999999999998,0.0
