latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
35.0,-84.0,2001,3,0.0,917.7,0.0
44.0,-121.5,2001,3,0.0,0.2,0.0
34.5,-77.5,2001,3,0.0,21.9,0.0
43.5,-104.0,2001,3,0.0,0.1,0.0
38.5,-86.5,2001,3,0.0,9.0,0.0
38.0,-87.0,2001,3,0.0,21.0,0.0
36.5,-85.0,2001,3,0.0,234.0,0.0
36.5,-84.5,2001,3,0.0,559.6,0.0
37.0,-84.5,2001,3,0.0,224.0,0.0
31.0,-92.5,2001,3,0.0,3.0,0.0
31.0,-93.5,2001,3,0.0,18.0,0.0
31.5,-92.5,2001,3,0.0,75.0,0.0
31.0,-93.0,2001,3,0.0,560.1,0.0
37.0,-84.0,2001,3,0.0,310.0,0.0
35.5,-93.0,2001,3,0.0,1587.3,0.0
35.5,-93.5,2001,3,0.0,5.6,0.0
34.5,-94.5,2001,3,26.0,46.0,0.0
34.5,-93.5,2001,3,0.0,41.0,0.0
34.5,-83.5,2001,3,0.0,95.49000000000002,0.0
34.5,-84.5,2001,3,0.0,149.96,0.0
34.5,-84.0,2001,3,0.0,49.49,0.0
34.0,-83.5,2001,3,0.0,28.110000000000007,0.0
34.5,-95.0,2001,3,5.0,59.0,0.0
45.5,-112.0,2001,3,0.0,81.0,0.0
33.5,-112.0,2001,3,0.0,0.2,0.0
33.5,-111.5,2001,3,0.0,0.1,0.0
35.0,-112.0,2001,3,0.0,0.1,0.0
29.0,-82.0,2001,3,4.1,335.2000000000001,0.0
30.0,-82.5,2001,3,5.1,22.7,0.0
29.0,-81.5,2001,3,0.2,2.1,0.0
28.5,-82.0,2001,3,0.0,48.6,0.0
30.0,-84.5,2001,3,0.0,320.4000000000001,0.0
45.0,-116.5,2001,3,0.0,3.5,0.0
45.5,-116.5,2001,3,0.0,1.0,0.0
40.5,-121.5,2001,3,0.0,0.1,0.0
40.5,-122.0,2001,3,0.0,0.7999999999999999,0.0
32.0,-111.0,2001,3,0.0,0.1,0.0
