latitude,longitude,year,month,natural_acres_burned,human_acres_burned,unknown_acres_burned
45.5,-113.5,1993,8,0.0,0.2,0.0
45.0,-112.5,1993,8,0.1,0.0,0.0
46.5,-114.5,1993,8,0.2,0.1,0.01
46.0,-114.5,1993,8,0.2,3.1,0.0
46.0,-114.0,1993,8,0.1,0.0,0.02
45.5,-114.5,1993,8,1.3,0.0,0.0
45.5,-114.0,1993,8,1.1,0.1,0.0
45.5,-115.0,1993,8,448.8000000000001,0.0,0.0
47.0,-116.0,1993,8,0.8,0.0,0.0
47.5,-116.5,1993,8,0.4,0.0,0.0
47.5,-117.0,1993,8,0.1,0.0,0.0
48.0,-116.5,1993,8,0.0,0.1,0.2
48.5,-116.5,1993,8,0.0,0.1,9.1
48.5,-117.0,1993,8,0.1,0.0,0.1
46.0,-116.0,1993,8,0.8,0.0,0.7
46.5,-115.5,1993,8,0.7999999999999999,7.0,0.0
46.5,-116.0,1993,8,0.4,0.0,1.1
46.5,-115.0,1993,8,0.8,0.0,0.0
46.0,-115.5,1993,8,0.30000000000000004,0.1,0.0
45.0,-110.0,1993,8,0.0,0.1,0.0
45.5,-105.0,1993,8,0.2,0.0,0.0
45.0,-104.0,1993,8,1.4,0.0,0.0
45.0,-106.5,1993,8,2.8,0.0,0.0
48.0,-114.5,1993,8,0.0,0.30000000000000004,0.13
47.0,-114.0,1993,8,0.0,0.2,1.52
47.5,-114.0,1993,8,0.0,0.1,0.02
48.0,-114.0,1993,8,0.0,0.1,0.0
48.0,-113.5,1993,8,0.0,0.1,0.0
45.0,-110.5,1993,8,0.1,0.0,0.0
46.5,-112.0,1993,8,0.30000000000000004,0.0,5.25
46.5,-112.5,1993,8,1.5,0.0,0.14
46.0,-112.5,1993,8,0.0,0.1,0.0
47.0,-112.5,1993,8,0.0,0.1,0.0
47.0,-113.0,1993,8,0.30000000000000004,0.0,0.0
48.5,-115.5,1993,8,0.0,0.1,0.0
48.0,-116.0,1993,8,0.30000000000000004,0.7,0.0
48.5,-116.0,1993,8,0.0,0.2,0.0
48.0,-115.5,1993,8,0.2,0.0,0.34
47.5,-116.0,1993,8,0.1,0.1,0.0
47.5,-113.5,1993,8,0.1,0.0,0.0
46.5,-114.0,1993,8,0.0,0.2,0.06000000000000001
47.0,-115.0,1993,8,0.8,0.4,1.3
47.0,-114.5,1993,8,0.1,0.0,0.0
47.5,-115.5,1993,8,0.1,0.0,0.0
47.0,-113.5,1993,8,0.0,0.2,0.08
47.0,-115.5,1993,8,0.1,0.0,0.0
45.0,-116.5,1993,8,1.5000000000000002,0.0,0.0
45.5,-116.0,1993,8,1.3000000000000005,0.0,0.0
45.5,-116.5,1993,8,0.2,0.0,0.1
45.5,-115.5,1993,8,0.5,0.1,0.0
44.0,-107.5,1993,8,0.1,0.30000000000000004,11.0
44.0,-107.0,1993,8,0.0,0.5,0.0
44.5,-107.5,1993,8,0.1,0.0,0.25
44.0,-104.5,1993,8,0.2,0.1,0.25
43.5,-104.0,1993,8,0.0,0.7,0.0
43.5,-104.5,1993,8,0.30000000000000004,0.0,0.25
43.0,-104.0,1993,8,2.4,0.0,0.0
44.0,-104.0,1993,8,0.5,0.2,0.0
44.0,-103.5,1993,8,0.1,3.2,0.0
43.5,-103.5,1993,8,0.0,0.1,0.0
39.0,-108.0,1993,8,0.1,0.0,0.0
38.5,-108.5,1993,8,2.8000000000000003,0.0,0.0
38.0,-108.5,1993,8,0.5,0.1,0.0
38.0,-108.0,1993,8,35.0,0.9,0.30000000000000004
38.0,-109.0,1993,8,0.5,0.1,0.0
38.5,-107.0,1993,8,0.0,0.2,0.0
38.5,-107.5,1993,8,0.0,0.1,0.0
41.0,-106.5,1993,8,0.0,0.1,0.0
42.0,-106.0,1993,8,0.0,0.1,0.0
42.0,-105.5,1993,8,240.0,0.0,0.0
41.5,-100.5,1993,8,0.2,0.0,0.0
37.5,-107.0,1993,8,0.3,0.0,0.0
39.5,-105.5,1993,8,0.0,0.1,0.0
40.0,-106.0,1993,8,0.30000000000000004,1.0,0.5
40.5,-106.0,1993,8,0.1,0.2,0.0
39.5,-106.0,1993,8,0.2,1.1,0.0
40.5,-107.0,1993,8,0.1,0.1,0.0
40.0,-107.0,1993,8,0.0,1.3,0.0
39.0,-106.5,1993,8,0.2,0.8,0.0
38.5,-106.5,1993,8,0.0,0.6,0.0
37.0,-103.0,1993,8,3.0,0.0,0.0
39.0,-105.0,1993,8,1.2,0.6,0.7
38.5,-105.5,1993,8,1.1,1.1,0.0
39.0,-106.0,1993,8,0.1,0.1,0.0
39.0,-105.5,1993,8,1.6000000000000003,0.6,0.0
37.5,-108.5,1993,8,5.0,0.0,0.0
37.0,-108.5,1993,8,5.899999999999998,0.0,0.0
37.0,-107.0,1993,8,0.1,0.0,0.0
37.0,-107.5,1993,8,1.2,0.0,0.0
37.0,-108.0,1993,8,0.7999999999999999,0.2,0.0
44.5,-109.5,1993,8,0.1,0.0,0.0
44.5,-110.0,1993,8,0.1,0.0,0.0
44.0,-109.5,1993,8,0.0,0.2,0.0
43.5,-110.0,1993,8,0.7000000000000001,0.1,0.0
40.0,-107.5,1993,8,8.0,0.0,0.0
39.0,-107.0,1993,8,0.0,0.1,0.0
39.5,-107.5,1993,8,4.499999999999999,0.0,0.0
39.5,-107.0,1993,8,1.6000000000000003,0.2,2.0
39.5,-106.5,1993,8,0.0,0.1,0.0
33.5,-109.5,1993,8,5.799999999999999,0.2,0.0
33.0,-109.5,1993,8,10.4,0.0,0.0
34.0,-111.0,1993,8,5.299999999999998,2.6,0.0
34.5,-111.5,1993,8,5.599999999999999,1.6000000000000003,0.0
34.0,-111.5,1993,8,74.80000000000003,3.4000000000000004,0.0
34.0,-110.5,1993,8,6.0,0.0,0.0
34.0,-110.0,1993,8,2.4,0.0,0.0
36.0,-106.5,1993,8,20.0,1.0,0.0
36.0,-107.0,1993,8,2.0,0.2,0.0
36.5,-107.5,1993,8,16.400000000000002,0.0,0.0
36.5,-106.5,1993,8,0.9,0.0,0.0
35.0,-108.5,1993,8,5.6,0.0,0.1
35.5,-107.5,1993,8,0.0,0.1,0.0
35.0,-109.0,1993,8,0.2,1.7,0.0
35.0,-108.0,1993,8,0.7,0.0,0.0
35.0,-107.5,1993,8,1.3,0.0,0.1
33.5,-107.5,1993,8,0.9,0.0,0.0
34.0,-107.5,1993,8,0.0,0.1,0.0
34.5,-112.0,1993,8,137.49999999999997,2.0,0.0
35.0,-111.5,1993,8,151.6,0.7,0.0
35.0,-112.0,1993,8,8.099999999999998,0.8,0.0
34.5,-111.0,1993,8,1.1,0.0,0.0
31.5,-109.5,1993,8,201.5,0.0,0.0
31.5,-111.0,1993,8,0.30000000000000004,0.25,0.0
31.0,-110.5,1993,8,0.1,0.0,0.0
32.5,-110.0,1993,8,40.0,0.0,0.0
32.5,-110.5,1993,8,520.1,0.0,2.5
32.0,-111.0,1993,8,583.8,5.0,0.0
32.5,-111.0,1993,8,483.7000000000001,0.0,2.25
33.0,-108.0,1993,8,0.7,0.0,0.0
33.5,-109.0,1993,8,5.1,0.0,0.0
33.0,-109.0,1993,8,8.699999999999996,0.1,0.0
33.0,-108.5,1993,8,7.899999999999999,0.0,0.0
32.5,-108.0,1993,8,0.4,0.0,0.0
33.5,-108.5,1993,8,44.6,0.0,0.0
32.5,-108.5,1993,8,24.300000000000004,0.0,0.2
34.0,-108.5,1993,8,0.2,0.0,0.0
34.0,-109.0,1993,8,0.4,0.0,0.0
35.0,-112.5,1993,8,2.6,3.15,0.0
36.5,-112.5,1993,8,3.450000000000001,0.1,0.0
36.0,-112.5,1993,8,3.6000000000000005,8.2,0.0
35.5,-112.5,1993,8,0.7,0.30000000000000004,0.0
36.0,-112.0,1993,8,0.30000000000000004,0.0,0.0
35.5,-112.0,1993,8,0.5,0.0,0.0
33.5,-105.5,1993,8,0.1,0.0,0.1
32.5,-105.5,1993,8,0.2,0.0,0.0
32.5,-106.0,1993,8,0.4,0.0,0.0
34.5,-113.0,1993,8,0.85,0.5,0.0
34.5,-112.5,1993,8,0.9,32.85,80.0
34.0,-112.5,1993,8,16.7,169.1,0.0
34.0,-112.0,1993,8,1026.6,0.0,0.0
35.5,-107.0,1993,8,5.4,0.7,0.0
36.5,-107.0,1993,8,12.2,0.0,0.0
