0.58,142480.6474784382
0.57,147584.83732459546
0.56,174483.61979489948
0.55,186713.55456416798
0.54,189208.6961082386
0.53,155524.33718186207
0.52,149402.42177241147
0.51,195543.3227327522
0.5,143312.8226215583
0.49,199850.93832981348
0.48,180640.6880215301
0.47,224633.20016666883
0.46,174100.90020425906
0.45,207207.0059670941
0.44,202157.53289459075
0.43,209658.74244218395
0.42,206200.4942578161
0.41,245289.30462748784
0.4,214650.68163716252
0.39,219268.91103997204
0.37,241594.80992323635
0.35,273391.4450136511
0.32,272319.13246389094
0.3,278301.4916355696
0.28,290897.79148415645
0.25,266372.35992624116
0.23,228667.45504550423
0.22,213098.03127337896
0.21,199280.56437696493
0.26,291721.95944256196
0.27,305918.68547375884
0.29,293919.40971823095
0.31,288043.0807963993
0.33,253220.88653422805
0.36,259860.79321818036
0.38,247409.85216700347
0.34,246479.2200598341
0.24,245412.22244020776
0.2,190778.2464779486
0.19,177441.2469878568
0.17,150480.2289407329
0.16,134883.7671858457
0.15,117182.19003307789
0.14,101432.52465213239
0.13,90406.27739100842
0.12,82397.90172985513
0.18,160706.84494998673
0.11,77862.77611882352
0.1,79287.55613500855
0.09,85545.43306975464
0.08,94010.49802033661
0.07,97922.11918244821
0.06,104130.32607704759
0.05,105701.5546925599
0.04,109104.67104902622
0.03,110260.60370603822
0.02,115961.66172019062
0.01,117177.33058638776
1.0,117076.81581477918
0.99,116824.32558635931
0.97,114410.05880513552
0.96,125761.47130880838
0.98,120182.8715245959
0.95,121953.86369931343
0.0,106128.17553017086
0.59,117318.47516475896
0.6,104541.3717407584
0.93,118787.38393897917
0.92,105073.93369733979
0.9,115441.05842607433
0.86,113958.58853175769
0.61,98546.77745706141
0.62,90999.29945839838
0.79,110300.28006511134
0.76,107770.5219647209
0.88,114524.41434879346
0.64,81524.1178763489
0.75,107319.77034254184
0.65,90850.41427820876
0.67,94277.86788737748
0.63,89190.93317662587
0.89,115070.32806500237
0.66,90738.84785600666
0.69,92561.12108142703
0.72,102588.50944393546
0.78,110965.89524770553
0.71,100413.02981658878
0.68,91835.77543918729
0.7,94960.71886237452
0.85,113188.91897448333
0.83,112194.97579546492
0.74,108728.21501662962
0.82,111646.73757478288
0.73,107900.76093383903
0.8,111598.9356408458
0.94,122121.27506636427
0.77,108383.576785977
0.81,112648.32125869792
0.91,115673.67189810425
0.87,119234.35211955589
0.84,115241.5243192612
